ticker,year,quarter,AssetQualityComponent.ProblemLoansAndLeasesCalculatedAsPercentageOfGrossLoans,AssetQualityComponent.LoanLossReservesToNPLs,LiquidityAndAssetsComponent.LDRPercentage,ProfitabilityComponent.NIM,NetInterestIncome,AttributeToParentCompany,SolvencyRatio.LiabilitiesToEquityRatio,ProfitabilityRatio.EBITMargin,ProfitabilityRatio.ROA,ProfitabilityRatio.ROE,ProfitabilityRatio.ROIC,ValuationRatios.BookValuePerShare,ValuationRatios.BasicEPS,ValuationRatios.PriceToBook,ValuationRatios.PriceToEarning,Revenue,EBIT
MSN,2025,4,,,,,,393500000000.0,1.8608485,0.09390054,0.02971135,0.12527197,0.07083854,,,3.15786411,28.49009274,18946395000000.0,1635051000000.0
MWG,2021,2,,,,,,1337968607833.0,1.95394744,0.0483291,0.093206,0.269797,0.13786326,25597.10583832,2551.43056017,5.156833,20.76402825,31156445464032.0,1691449042865.0
MWG,2021,3,,,,,,1213029685285.0,1.66531511,0.0461707,0.085526,0.246366,0.12368159,26368.36915468,1101.42112725,4.98703576,21.65986379,31982973207655.0,1497729574997.0
MWG,2021,4,,,,,,785385401306.0,2.0901288,0.04793965,0.089885,0.273383,0.13575946,,,5.3626565,21.69512942,24504825927283.0,843098638483.0
MWG,2022,1,,,,,,1562485583796.0,1.85968864,0.04701166,0.087271,0.252768,0.12025212,14892.07492775,2025.71193464,4.0961384,17.6845433,36497281090978.0,1855921692454.0
MWG,2022,2,,,,,,1444465283401.0,1.6430938,0.05009312,0.083892,0.236221,0.12147365,15299.15947875,771.92908608,3.47731521,15.66470415,36819173885619.0,1848791140518.0
MWG,2022,3,,,,,,1130010994744.0,1.62861106,0.0537306,0.082052,0.229617,0.12807059,15915.87857159,619.07153689,2.90176498,13.41058806,34702840342036.0,2028211242357.0
MWG,2022,4,,,,,,906245995691.0,1.33297422,0.04980464,0.069016,0.185155,0.11788176,,,2.39836906,13.99696435,32322456456197.0,1733197313657.0
MWG,2023,1,,,,,,619040753469.0,1.25099473,0.03950623,0.046497,0.114447,0.08051098,16353.05264752,14.52779873,3.32970769,29.80714113,30877778203705.0,1033977152261.0
MWG,2023,2,,,,,,21266943546.0,1.55541905,0.02410967,0.027151,0.066287,0.0439553,15866.74092073,11.89417972,2.55108458,37.89647029,27335086613676.0,105121649156.0
MWG,2023,3,,,,,,17405665662.0,1.52017246,0.00989901,0.01223099,0.02953176,0.01467302,15892.49100444,26.47249029,2.85478521,95.39398265,29725046708024.0,877702007.0
MWG,2023,4,,,,,,38739225905.0,1.57315993,0.00344128,0.0028923,0.00710174,0.00783995,,,3.43856188,479.11281569,30520841321411.0,22629885150.0
MWG,2024,1,,,,,,90257557591.0,1.44077523,0.01079997,0.01736024,0.04411395,0.01849655,17275.72023252,616.6813765,3.58526799,86.50267027,31653210181975.0,278405050203.0
MWG,2024,2,,,,,,902437167555.0,1.48783556,0.0216901,0.03551994,0.0899419,0.0446076,17864.47881871,801.69709745,3.72163375,44.13489063,31685017802969.0,1022816617291.0
MWG,2024,3,,,,,,1172276912467.0,1.4527464,0.02907648,0.04625391,0.11666229,0.06557566,18407.22172301,547.2068154,3.21445751,29.2022592,34384590572937.0,1437942151721.0
MWG,2024,4,,,,,,800149979434.0,1.50475911,0.03039727,0.05701871,0.14565941,0.06747988,,,3.18083883,23.46924278,34361569620937.0,1075342133628.0
MWG,2025,1,,,,,,847004382205.0,1.44965781,0.03340964,0.06329215,0.15859774,0.07747685,20040.08203576,1057.23593587,3.36018711,22.39280622,34793923302149.0,547503981397.0
MWG,2025,2,,,,,,1545937090941.0,1.69859256,0.03417711,0.06654201,0.1704378,0.07777352,20032.512965,1113.84324286,4.21461815,25.57370236,36332913479242.0,1582804484839.0
MWG,2025,3,,,,,,1648146246704.0,1.52501789,0.03767005,0.07637129,0.19682572,0.08488286,21228.28523374,1196.8014348,4.34300463,23.47894946,37844160678840.0,1663751360875.0
MWG,2025,4,,,,,,1770898917304.0,1.53030271,0.04537282,0.0911203,0.23306967,0.10671104,,,3.76117311,17.48714483,40091343632319.0,1787939123883.0
